#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-49.514043,1,2.954587
-25.456186,1,2.954587
-60.707942,1,2.954587
-42.8149,1,2.954587
-13.812622,1,2.954587
-40.742081,1,2.954587
-23.184464,1,2.954587
-24.518554,1,2.964734
-19.348879,1,2.968728
-37.088415,1,2.970775
-34.557341,1,2.973392
-42.5427,1,2.976395
-5.727056,1,2.981159
-14.050183,1,2.982154
-42.21234,1,2.98416
-39.369796,1,2.985166
-46.11687,1,2.985986
-34.013788,1,2.985986
-23.505727,1,2.985986
-36.006492,1,2.985986
-28.101131,1,2.985986
-6.770606,1,2.985986
-51.790201,1,2.995334
-16.205029,1,2.99694
-21.916885,1,2.997533
-68.393054,1,2.999618
-31.907904,1,3.00063
-37.261974,1,3.001558
-19.855765,1,3.001558
-59.235549,1,3.001558
-10.041403,1,3.006682
-28.900527,1,3.007794
-42.793629,1,3.008784
-20.999999,1,3.010791
-41.857561,1,3.011693
-60.309461,1,3.013693
-58.207202,1,3.014958
-12.721972,1,3.015952
-9.904869,1,3.017951
-26.565622,1,3.018956
-34.815395,1,3.019952
-5.396872,1,3.020984
-45.058884,1,3.020984
-9.123222,1,3.020984
-19.428041,1,3.020984
-20.540798,1,3.020984
-22.772174,1,3.020984
-37.660742,1,3.020984
-19.022119,1,3.031274
-47.202929,1,3.032763
-17.456154,1,3.034774
-50.493505,1,3.036782
-26.954217,1,3.03879
-39.228614,1,3.03879
-7.042243,1,3.040799
-72.212018,1,3.042003
-34.631464,1,3.044011
-18.453098,1,3.046021
-54.816682,1,3.046021
-32.012344,1,3.048033
-16.536781,1,3.050043
-40.75625,1,3.051055
-34.237371,1,3.053067
-38.005637,1,3.053067
-45.894011,1,3.055077
-58.741362,1,3.057086
-39.518443,1,3.059095
-32.912791,1,3.059095
-18.522833,1,3.061103
-21.265525,1,3.061103
-55.581516,1,3.061103
-53.473661,1,3.061103
-23.095276,1,3.061103
-30.194562,1,3.061103
-35.778433,1,3.061103
-17.030007,1,3.071646
-19.545414,1,3.071646
-30.188754,1,3.071646
-44.099871,1,3.071646
-52.255667,1,3.071646
-33.319418,1,3.071646
-49.800717,1,3.071646
-30.578338,1,3.071646
